Game_Name,Country,Scanned,With_Game,In_Lobby,SlotRank
Game King Video Poker,Ireland,307,12,2,1432
Game King Video Poker,United Kingdom,577,10,0,5424
Game King Video Poker,Sweden,99,5,1,301
Game King Video Poker,Canada (Ontario),16,4,1,101
Heads Up Hold' em,Norway,465,47,2,684
Heads Up Hold' em,Finland,593,43,2,1291
Heads Up Hold' em,New Zealand,484,39,0,10938
Heads Up Hold' em,Brazil,244,33,0,9941
Premium Blackjack Single Hand,Canada,644,68,0,9196
Premium Blackjack Single Hand,Finland,593,52,2,1079
Premium Blackjack Single Hand,Norway,465,52,2,880
Premium Blackjack Single Hand,New Zealand,484,45,0,10190
Quantum Roulette,Canada,644,122,1,1452
Quantum Roulette,Finland,593,106,1,2258
Quantum Roulette,United Kingdom,577,96,9,49
Quantum Roulette,New Zealand,484,94,0,6799
101 Roulette,Canada,644,29,0,12097
101 Roulette,Norway,465,20,0,12596
101 Roulette,New Zealand,484,17,0,14850
101 Roulette,Finland,593,17,0,14146
